CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_HAPPINESS_MEAN	GERMAN_ANGER_MEAN	GERMAN_SADNESS_MEAN	GERMAN_FEAR_MEAN	GERMAN_DISGUST_MEAN	GERMAN_EMOTION_DOMINANT	LINE_IN_SOURCE
1004	MUSCLE	muskel	1.8181818181818181	1.0454545454545454	1.0	1.1818181818181819	1.2727272727272727	HAP	1122
1008	BULL	stier	1.92	1.52	1.28	2.52	1.32	FEA	1606
1011	BRIDGE	brücke	1.7391304347826086	1.1304347826086956	1.3043478260869565	1.608695652173913	1.0869565217391304	HAP	271
1038	TEACHER	lehrer	1.7272727272727273	2.1818181818181817	1.2272727272727273	1.3181818181818181	1.0454545454545454	ANG	887
1044	PILLOW	kissen	3.4545454545454546	1.1363636363636365	1.0	1.0909090909090908	1.0454545454545454	HAP	776
1045	POET	dichter	2.85	1.15	1.4	1.15	1.0	HAP	321
1048	LINE	linie	1.8636363636363635	1.2727272727272727	1.2272727272727273	1.2727272727272727	1.1818181818181819	HAP	937
1062	LAW	gesetz	1.4761904761904763	2.2857142857142856	1.1904761904761905	1.380952380952381	1.1904761904761905	ANG	568
1063	NEPHEW	neffe	2.3043478260869565	1.3478260869565217	1.2173913043478262	1.2173913043478262	1.2608695652173914	HAP	1148
1068	COURT	gericht	1.15	1.95	1.15	2.0	1.05	FEA	563
1074	FISHHOOK	angel	2.0	1.5	1.3	1.45	1.4	HAP	84
1075	TRAP (PITFALL)	falle	1.4761904761904763	3.5238095238095237	1.8571428571428572	2.857142857142857	1.7619047619047619	ANG	428
1093	MIDDLE	mitte	1.8095238095238095	1.2380952380952381	1.2380952380952381	1.2857142857142858	1.2857142857142858	HAP	1077
1096	SONG	lied	3.7	1.6	1.8	1.2	1.15	HAP	929
1103	SACRIFICE	opfer	1.5	2.8181818181818183	3.090909090909091	2.8636363636363638	1.9090909090909092	SAD	1186
1105	CAMP	lager	1.6666666666666667	1.7142857142857142	1.5238095238095237	1.8571428571428572	1.5714285714285714	FEA	868
1109	WOUND	wunde	1.173913043478261	2.4347826086956523	1.7826086956521738	2.391304347826087	2.5217391304347827	DIS	1902
1114	BULLET	kugel	2.0454545454545454	1.4545454545454546	1.5454545454545454	2.0	1.4090909090909092	HAP	848
1115	SPEECH	rede	1.8	1.65	1.3	1.9	1.25	FEA	1361
1122	WAGES	lohn	3.3	2.05	1.3	1.65	1.3	HAP	951
1137	TENDON	sehne	1.1818181818181819	1.2727272727272727	1.1363636363636365	1.1818181818181819	1.7272727272727273	DIS	1517
1139	LEOPARD	leopard	2.619047619047619	1.0476190476190477	1.0	2.142857142857143	1.0476190476190477	HAP	910
1145	SWAMP	sumpf	1.608695652173913	1.3043478260869565	1.3043478260869565	2.4347826086956523	2.5217391304347827	DIS	1629
1149	ORPHAN	waise	1.2272727272727273	2.0454545454545454	3.272727272727273	2.0	1.2272727272727273	SAD	1845
1150	THUNDER	donner	2.272727272727273	1.4090909090909092	1.1818181818181819	2.3636363636363638	1.0	FEA	338
1160	THIEF	dieb	1.2	3.5	2.0	2.95	1.7	ANG	322
1161	THREAD	faden	1.3	1.2	1.3	1.2	1.35	DIS	421
1171	MIRROR	spiegel	2.4285714285714284	1.4761904761904763	1.1428571428571428	1.2380952380952381	1.0476190476190477	HAP	1575
1181	PALM TREE	palme	3.130434782608696	1.173913043478261	1.391304347826087	1.0869565217391304	1.173913043478261	HAP	1208
1185	VULTURE	geier	1.6	1.95	1.5	2.1	2.8	DIS	544
1187	GOOSE	gans	2.5238095238095237	1.5238095238095237	1.4761904761904763	1.4285714285714286	1.5238095238095237	HAP	523
1190	HARE	hase	3.238095238095238	1.0952380952380953	1.380952380952381	1.2380952380952381	1.0952380952380953	HAP	630
1194	BEAVER	biber	2.95	1.5	1.3	1.5	1.35	HAP	230
12	MIDDAY	mittag	2.5238095238095237	1.0476190476190477	1.0	1.0476190476190477	1.0	HAP	1076
1200	HUSBAND	gatte	2.25	1.65	1.65	1.55	1.45	HAP	527
1201	FEATHER	feder	2.75	1.35	1.3	1.5	1.75	HAP	437
1204	BARK	rinde	1.84	1.04	1.16	1.0	1.4	HAP	1397
1205	TONGUE	zunge	2.0	1.1666666666666667	1.0833333333333333	1.0416666666666667	1.7916666666666667	HAP	1948
1208	CAT	katze	3.8260869565217392	1.6521739130434783	1.5217391304347827	1.565217391304348	1.5217391304347827	HAP	756
1216	MOTHER	mutter	3.6666666666666665	1.3333333333333333	1.2380952380952381	1.1428571428571428	1.0	HAP	1124
1217	FATHER	vater	3.3636363636363638	1.7727272727272727	1.8636363636363635	1.6818181818181819	1.1363636363636365	HAP	1779
1218	ROPE	seil	1.9090909090909092	1.3636363636363635	1.0909090909090908	1.5454545454545454	1.1363636363636365	HAP	1520
1219	WORM	wurm	1.55	1.85	1.25	1.75	3.45	DIS	1906
1221	NOSE	nase	1.9047619047619047	1.5238095238095237	1.2380952380952381	1.1904761904761905	1.8571428571428572	HAP	1142
1223	HEART	herz	3.3333333333333335	1.5714285714285714	1.7619047619047619	1.7619047619047619	1.5714285714285714	HAP	656
1228	EARTH (SOIL)	erde	3.4285714285714284	1.619047619047619	1.4761904761904763	2.0952380952380953	1.4761904761904763	HAP	397
1233	NIGHT	nacht	3.4545454545454546	1.3636363636363635	1.6818181818181819	1.9545454545454546	1.2272727272727273	HAP	1132
1245	BUTTER	butter	1.9047619047619047	1.0476190476190477	1.1428571428571428	1.0952380952380953	1.7619047619047619	HAP	288
1248	EYE	auge	2.2857142857142856	1.0952380952380953	1.1904761904761905	1.3333333333333333	1.8571428571428572	HAP	144
1252	HOUSE	haus	3.2	1.3	1.15	1.6	1.2	HAP	632
1259	WEDDING	hochzeit	4.0	1.1	1.15	1.25	1.0	HAP	670
1262	BROTHER	bruder	3.0	1.4545454545454546	1.1818181818181819	1.2272727272727273	1.0909090909090908	HAP	272
1266	BRIDE	braut	3.45	1.25	1.65	1.8	1.25	HAP	264
1269	NO	nein	1.619047619047619	3.0476190476190474	1.9523809523809523	2.5714285714285716	1.2857142857142858	ANG	1155
1272	AUNT	tante	2.15	1.4	1.4	1.25	1.2	HAP	1646
1273	CANDLE	kerze	3.5454545454545454	1.5	2.3181818181818183	1.5909090909090908	1.2272727272727273	HAP	765
1276	AUTUMN	herbst	2.9565217391304346	1.3478260869565217	1.7391304347826086	1.2173913043478262	1.1304347826086956	HAP	651
1277	HAND	hand	2.4761904761904763	1.2380952380952381	1.2857142857142858	1.6666666666666667	1.380952380952381	HAP	624
1279	FAT (OBESE)	fett	1.1304347826086956	2.347826086956522	1.391304347826087	1.608695652173913	3.4347826086956523	DIS	453
1290	ELEPHANT	elefant	3.2	1.15	1.25	1.2	1.25	HAP	381
1293	MISTAKE	fehler	1.0454545454545454	2.6363636363636362	1.5909090909090908	2.0454545454545454	1.1818181818181819	ANG	439
1298	NEWSPAPER	zeitung	2.55	1.35	1.1	1.1	1.15	HAP	1922
1302	FORK	gabel	1.75	1.25	1.25	1.5	1.45	HAP	519
1303	FINGER	finger	1.565217391304348	1.1304347826086956	1.0434782608695652	1.0434782608695652	1.2608695652173914	HAP	464
1304	CHILD (YOUNG HUMAN)	kind	3.761904761904762	1.7619047619047619	1.5238095238095237	2.0952380952380953	1.380952380952381	HAP	772
1307	LANGUAGE	sprache	2.7142857142857144	1.1428571428571428	1.0476190476190477	1.0952380952380953	1.0	HAP	1584
1312	FOX	fuchs	2.6	1.35	1.5	1.9	1.4	HAP	510
1313	MOON	mond	3.6363636363636362	1.4090909090909092	1.7727272727272727	1.5	1.0	HAP	1089
1318	CHICKEN	huhn	2.45	1.45	1.55	1.35	1.65	HAP	682
1320	APPLE	apfel	3.35	1.25	1.3	1.15	1.2	HAP	105
1321	BOTTLE	flasche	1.55	1.25	1.05	1.1	1.3	HAP	470
1325	FRIEND	freund	4.260869565217392	1.3478260869565217	1.2608695652173914	1.2608695652173914	1.0	HAP	500
1327	UNCLE	onkel	2.6818181818181817	1.4545454545454546	1.4545454545454546	1.2272727272727273	1.4090909090909092	HAP	1184
1331	SHEEP	schaf	3.0454545454545454	1.1818181818181819	1.1818181818181819	1.1818181818181819	1.0909090909090908	HAP	1447
1332	NEIGHBOUR	nachbar	2.0476190476190474	1.4285714285714286	1.0476190476190477	1.0476190476190477	1.0476190476190477	HAP	1129
1337	PIG	schwein	1.9523809523809523	1.5238095238095237	1.0476190476190477	1.1428571428571428	2.0	DIS	1507
1338	PEACE	friede	3.909090909090909	1.0909090909090908	1.0909090909090908	1.1363636363636365	1.0909090909090908	HAP	502
134	FAULT	schuld	1.0	2.3636363636363638	2.3636363636363638	2.3181818181818183	1.1818181818181819		1498
1342	SUMMER	sommer	4.380952380952381	1.0952380952380953	1.0476190476190477	1.0	1.0476190476190477	HAP	1561
1343	SUN	sonne	4.476190476190476	1.0952380952380953	1.0476190476190477	1.0952380952380953	1.0476190476190477	HAP	1562
1346	THROAT	kehle	1.3478260869565217	1.4782608695652173	1.5217391304347827	2.0	1.7826086956521738	FEA	759
1349	CHURCH	kirche	1.7142857142857142	1.7619047619047619	1.6666666666666667	1.3333333333333333	1.2857142857142858	ANG	774
1350	MONKEY	affe	3.1818181818181817	1.4545454545454546	1.3181818181818181	1.6818181818181819	1.6818181818181819	HAP	49
1352	KNIFE	messer	1.0952380952380953	1.5714285714285714	1.1428571428571428	2.2857142857142856	1.1428571428571428	FEA	1042
1353	HOUR	stunde	1.3636363636363635	1.3181818181818181	1.1363636363636365	1.1363636363636365	1.0	HAP	1623
1356	NUMBER	zahl	2.05	1.6	1.1	1.35	1.15	HAP	1909
1357	DAUGHTER	tochter	2.857142857142857	1.0952380952380953	1.0476190476190477	1.1428571428571428	1.0	HAP	1683
1358	ENEMY	feind	1.4285714285714286	3.380952380952381	1.619047619047619	2.7142857142857144	1.4285714285714286	ANG	444
1360	DUCK	ente	3.1363636363636362	1.0454545454545454	1.2272727272727273	1.2727272727272727	1.1363636363636365	HAP	389
1366	BOY	junge	2.6	1.9	1.2	1.2	1.3	HAP	715
1367	CROSS	kreuz	1.6363636363636365	1.6363636363636365	2.1818181818181817	1.8636363636363635	1.4090909090909092	SAD	837
1368	BREAD	brot	2.95	1.05	1.15	1.1	1.35	HAP	270
1369	GOLD	gold	3.15	1.4	1.25	1.35	1.2	HAP	597
1370	MONTH	monat	2.0	1.4166666666666667	1.4166666666666667	1.2916666666666667	1.3333333333333333	HAP	1088
1374	RING	ring	3.35	1.2	1.5	1.55	1.05	HAP	1398
1375	WINDOW	fenster	2.5	1.15	1.35	1.05	1.0	HAP	445
1378	SPOON	löffel	1.7727272727272727	1.0	1.0	1.0	1.0909090909090908	HAP	949
1379	TELEPHONE	telefon	2.4285714285714284	1.1904761904761905	1.0476190476190477	1.0	1.0	HAP	1659
1380	TOOTH	zahn	1.35	1.55	1.15	2.2	1.8	FEA	1911
1381	SHOE	schuh	2.090909090909091	1.1363636363636365	1.1363636363636365	1.0	1.1363636363636365	HAP	1497
1382	NEEDLE (FOR SEWING)	nadel	2.0	1.6956521739130435	1.6956521739130435	2.391304347826087	1.7826086956521738	FEA	1134
1385	PEPPER	paprika	2.8095238095238093	1.0952380952380953	1.0	1.0	1.3333333333333333	HAP	1218
1386	LION	löwe	2.909090909090909	1.3181818181818181	1.2727272727272727	2.4545454545454546	1.2272727272727273	HAP	959
1388	SHADE	schatten	1.4285714285714286	1.2857142857142858	1.2857142857142858	2.1904761904761907	1.1428571428571428	FEA	1453
1394	BONE	knochen	1.25	1.25	1.25	1.35	2.3	DIS	801
1402	BREAST	busen	3.05	1.25	1.1	1.1	1.65	HAP	287
1405	NAME	name	2.142857142857143	1.2857142857142858	1.1904761904761905	1.2857142857142858	1.2380952380952381	HAP	1138
1410	KNOW (SOMETHING)	wissen	3.4	1.2	1.1	1.2	1.0	HAP	1888
1422	BE ALIVE	leben	4.041666666666667	2.0	2.0833333333333335	2.3333333333333335	1.75	HAP	883
1430	STAR	stern	3.652173913043478	1.0869565217391304	1.3478260869565217	1.173913043478261	1.0869565217391304	HAP	1602
1450	ROOM	raum	1.9523809523809523	1.1428571428571428	1.2380952380952381	1.4761904761904763	1.1428571428571428	HAP	1353
1464	LADDER	leiter	1.2857142857142858	1.1904761904761905	1.0476190476190477	1.5714285714285714	1.0476190476190477	FEA	902
1465	BOX	kiste	2.0869565217391304	1.3043478260869565	1.5217391304347827	1.565217391304348	1.2608695652173914	HAP	777
1467	CIRCLE	kreis	2.0416666666666665	1.4166666666666667	1.5	1.4166666666666667	1.1666666666666667	HAP	835
1469	WEEK	woche	1.6363636363636365	1.5	1.2727272727272727	1.4545454545454546	1.3181818181818181	HAP	1891
1471	WINTER	winter	2.45	1.65	1.65	1.4	1.15	HAP	1884
1473	FIST	faust	1.8	2.4	1.8	2.6	1.45	FEA	436
1474	SEA	meer	4.4	1.1	1.6	2.4	1.3	HAP	1027
1475	COMB	kamm	1.7619047619047619	1.3333333333333333	1.0952380952380953	1.1904761904761905	1.4761904761904763	HAP	731
1476	CHAIR	stuhl	1.6818181818181819	1.1363636363636365	1.1363636363636365	1.0909090909090908	1.2727272727272727	HAP	1622
1480	BODY	leib	2.1904761904761907	1.5238095238095237	1.3333333333333333	1.7619047619047619	2.0	HAP	892
1481	HAMMER	hammer	1.2272727272727273	1.2727272727272727	1.0	1.5454545454545454	1.1363636363636365	FEA	622
1489	CLOUD	wolke	3.1818181818181817	1.0909090909090908	1.3636363636363635	1.1818181818181819	1.0	HAP	1896
1490	RAT	ratte	1.434782608695652	1.6956521739130435	1.0869565217391304	1.9565217391304348	2.9130434782608696	DIS	1349
1491	MOUSE	maus	2.761904761904762	1.4761904761904763	1.1904761904761905	1.4761904761904763	1.8571428571428572	HAP	1022
1502	GOAT	ziege	2.4166666666666665	1.2916666666666667	1.2916666666666667	1.4166666666666667	1.4583333333333333	HAP	1931
1504	FLY (INSECT)	fliege	1.2	2.35	1.0	1.2	2.5	DIS	474
1511	ROOSTER	hahn	2.409090909090909	1.8636363636363635	1.2727272727272727	1.4090909090909092	1.4090909090909092	HAP	619
1514	HEN	henne	2.0476190476190474	1.4285714285714286	1.4285714285714286	1.4285714285714286	1.6666666666666667	HAP	650
1517	WASP	wespe	1.3478260869565217	2.5652173913043477	1.3043478260869565	3.0	2.391304347826087	FEA	1876
1524	WINE	wein	2.9047619047619047	1.380952380952381	1.2380952380952381	1.2380952380952381	1.5714285714285714	HAP	1864
1525	COAST	küste	3.6666666666666665	1.3333333333333333	1.8571428571428572	1.4761904761904763	1.1904761904761905	HAP	863
1526	MEAL	mahlzeit	2.95	1.05	1.05	1.15	1.05	HAP	986
1534	FEVER	fieber	1.25	2.3333333333333335	1.7083333333333333	2.7083333333333335	1.9583333333333333	FEA	457
1538	SCORPION	skorpion	1.4	1.2	1.05	2.8	2.3	FEA	1551
1539	BASKET	korb	2.1	1.25	1.35	1.4	1.15	HAP	827
154	UDDER	euter	2.1	1.2	1.1	1.1	2.5	DIS	415
1543	SNAIL	schnecke	1.8571428571428572	1.3333333333333333	1.0952380952380953	1.0476190476190477	2.0476190476190474	DIS	1485
1547	SOUP	suppe	2.44	1.12	1.08	1.0	1.2	HAP	1630
1554	MAN	mann	2.6666666666666665	1.9047619047619047	1.4761904761904763	1.8095238095238095	1.380952380952381	HAP	1003
1556	YOLK	eigelb	1.8333333333333333	1.125	1.0416666666666667	1.0	2.0	DIS	363
1557	BEGINNING	anfang	3.0	1.2727272727272727	1.3636363636363635	1.5909090909090908	1.0	HAP	81
1559	MONEY	geld	2.75	2.45	1.6	2.55	2.0	HAP	551
1560	FACE	gesicht	2.6	1.25	1.3	1.1	1.05	HAP	569
1562	MIND	verstand	3.0476190476190474	1.1904761904761905	1.0476190476190477	1.0476190476190477	1.0	HAP	1800
1566	GUN	pistole	1.1904761904761905	2.2857142857142856	1.380952380952381	3.238095238095238	1.5238095238095237	FEA	1274
1569	CHEESE	käse	2.85	1.25	1.05	1.2	1.9	HAP	749
1583	BRAIN	gehirn	1.65	1.1	1.0	1.25	2.0	DIS	543
1592	CHEST	brust	2.8	1.35	1.25	1.35	1.5	HAP	274
1596	LOCK	schloss	3.1904761904761907	1.1904761904761905	1.0476190476190477	1.1904761904761905	1.0	HAP	1478
1597	AIRPLANE	hobel	1.5	1.55	1.2	1.45	1.55		668
1599	WORD	wort	2.380952380952381	1.6666666666666667	1.4761904761904763	1.1904761904761905	1.4285714285714286	HAP	1900
1600	SKIRT	rock	2.45	1.3	1.25	1.35	1.3	HAP	1404
1610	PROSTITUTE	hure	1.25	2.8	2.05	2.05	2.85	DIS	687
1612	LETTER	brief	3.05	1.65	1.55	1.85	1.25	HAP	266
1618	GRANDSON	enkel	2.772727272727273	1.1818181818181819	1.5	1.5909090909090908	1.2727272727272727	HAP	388
1620	SON	sohn	2.85	1.4	1.35	1.7	1.0	HAP	1558
1622	SHIRT	hemd	1.55	1.2	1.1	1.1	1.2	HAP	647
1627	CHAIN	kette	3.238095238095238	1.0952380952380953	1.1904761904761905	1.3333333333333333	1.0	HAP	766
1629	EVENING	abend	3.2	1.35	1.75	1.5	1.2	HAP	6
1638	TRUTH	wahrheit	3.5238095238095237	1.3333333333333333	1.380952380952381	1.5714285714285714	1.0952380952380953	HAP	1844
1639	BEER	bier	1.95	1.95	1.25	1.55	2.4	DIS	232
1641	SILK	seide	3.2916666666666665	1.2083333333333333	1.2083333333333333	1.1666666666666667	1.25	HAP	1518
1642	NIECE	nichte	2.409090909090909	1.0454545454545454	1.0454545454545454	1.0454545454545454	1.0	HAP	1160
1646	GIRL	mädchen	2.9047619047619047	1.0	1.0	1.0952380952380953	1.0	HAP	974
1651	TEAR (OF EYE)	träne	1.3461538461538463	1.8846153846153846	3.6153846153846154	1.7692307692307692	1.0769230769230769	SAD	1702
1654	LIGHTNING	blitz	2.65	1.45	1.4	2.7	1.3	FEA	246
1659	DOLL	puppe	2.1666666666666665	1.2916666666666667	1.5416666666666667	1.5	1.5	HAP	1327
1663	BED	bett	3.9	1.15	1.15	1.15	1.2	HAP	223
1664	RAFT	floß	2.65	1.2	1.2	1.95	1.0	HAP	476
1667	HOLE	loch	1.5	1.6818181818181819	1.8181818181818181	2.5454545454545454	1.7727272727272727	FEA	947
1668	GRIEF	sorge	1.0909090909090908	2.3636363636363638	2.5	3.090909090909091	1.1363636363636365	FEA	1564
1679	LOAD	last	1.2	3.1	2.15	2.65	1.4	ANG	873
1684	BUD	knospe	3.1818181818181817	1.0	1.1363636363636365	1.0	1.0	HAP	802
1699	SUNDAY	sonntag	3.6	1.15	1.15	1.0	1.0	HAP	1563
1700	SATURDAY	samstag	3.857142857142857	1.0	1.0	1.0	1.0	HAP	1434
1730	CHEEK	wange	2.7083333333333335	1.0833333333333333	1.0833333333333333	1.0416666666666667	1.0	HAP	1850
1732	SKY	himmel	3.8260869565217392	1.0869565217391304	1.434782608695652	1.434782608695652	1.0	HAP	661
174	PROUD	stolz	3.1666666666666665	2.0416666666666665	1.4166666666666667	1.6666666666666667	1.375	HAP	1608
1746	BLADDER	blase	1.5	1.7	1.35	1.25	2.65	DIS	243
1747	CUSTOM	sitte	1.5	1.5833333333333333	1.2916666666666667	1.2083333333333333	1.375	ANG	1542
1756	WIDOW	witwe	1.1818181818181819	1.6818181818181819	2.8636363636363638	2.0	1.2272727272727273	SAD	1889
1763	CLUB	keule	1.4545454545454546	1.5909090909090908	1.5454545454545454	2.0	1.8181818181818181	FEA	768
1772	ELK	elch	3.0	1.2857142857142858	1.4285714285714286	1.7142857142857142	1.2857142857142858	HAP	380
1773	GRAVE	grab	1.15	1.9	3.9	3.45	2.45	SAD	599
1775	TABLE	tisch	1.5416666666666667	1.0833333333333333	1.0	1.0416666666666667	1.0	HAP	1679
1776	SHAME	scham	1.0952380952380953	2.1904761904761907	1.7142857142857142	2.2857142857142856	1.9523809523809523	FEA	1451
1779	DARE	wagen	2.260869565217391	1.3478260869565217	1.0434782608695652	1.2608695652173914	1.0434782608695652	HAP	1839
