CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH	FRENCH_VISUAL_MEAN	LINE_IN_SOURCE
1000	ANXIETY	anxiété	51.92	135
1006	BRICK	brique	80	423
1007	COW	vache	86.292	3483
1008	BULL	taureau	82.826	3302
1012	LATCH	verrou	74.043	3519
1013	FRESHWATER EEL	anguille	70.261	123
1016	DRIZZLE	bruine	67.333	438
1017	APPEARANCE	aspect	38.296	184
1032	CITIZEN	citoyen	53.875	675
1034	DEFENDANT	accusé	59.76	29
1035	GOOD	bon	52.583	362
1036	OWNER	propriétaire	58.818	2769
1037	ELF	lutin	83.04	2058
1038	TEACHER	professeur	78.536	2752
1044	PILLOW	oreiller	87.345	2411
1048	LINE	ligne	82.227	2009
1049	MOLAR TOOTH	molaire	80.552	2222
105	MATTRESS	matelas	84.84	2134
1061	ARMOUR	armure	80.44	172
1063	NEPHEW	neveu	64.64	2326
1068	COURT	tribunal	63	3439
1074	FISHHOOK	hameçon	84.12	1709
1075	TRAP (PITFALL)	piège	77.034	2579
1077	WHEAT	blé	85.111	347
108	RUDDER	gouvernail	59.708	1646
1081	BILL	compte	49.345	786
1092	HOPE	espoir	55.696	1312
11	DARKNESS	obscurité	76.667	2365
110	MOTOR	moteur	75.292	2256
1103	SACRIFICE	sacrifice	48.12	3025
1104	NURSE	infirmier	75.667	1835
1109	WOUND	blessure	70.304	349
1110	SHARK	requin	87.2	2936
1114	BULLET	balle	84.381	263
112	TURTLE	tortue	88.56	3381
1121	SECRET	secret	45.292	3082
1124	PIPE	pipe	85.16	2600
1125	BALD	chauve	87.522	636
1132	BEAM	poutre	71.375	2700
1134	DIVORCE	divorce	55.174	1123
1136	RABBIT	lapin	92.227	1962
1137	TENDON	tendon	65.048	3322
1139	LEOPARD	léopard	84.885	1984
1141	PITY	pitié	55.44	2610
1142	URINE	urine	77.423	3473
1143	OVEN	four	86.655	1520
1145	SWAMP	marais	72.87	2110
1146	AUBERGINE	aubergine	86.087	213
1150	THUNDER	tonnerre	60.25	3372
1154	OLIVE	olive	85.913	2388
1155	CAVE	grotte	87.214	1681
1161	THREAD	fil	85.714	1456
1165	MOUSTACHE	moustache	85.875	2271
1169	OX	boeuf	79.769	357
1171	MIRROR	miroir	88.56	2202
1173	EYEBROW	sourcil	84.52	3193
1175	GHOST	fantôme	63.958	1404
1181	PALM TREE	palmier	87.217	2450
1182	NOISE	bruit	32.769	439
1183	PALM OF HAND	paume	81.269	2515
1187	GOOSE	oie	77.731	2384
1188	CHARCOAL	houille	19.5	1764
1189	ULCER	ulcère	56.087	3467
1190	HARE	lièvre	78.4	2007
1194	BEAVER	castor	80.75	564
1199	WIFE	épouse	62.241	1287
12	MIDDAY	midi	60.125	2189
120	PITCHER	cruche	67.107	950
1200	HUSBAND	mari	64.083	2122
1201	FEATHER	plume	92.269	2631
1204	BARK	écorce	70.269	1182
1208	CAT	chat	87.087	626
1209	I	moi	83.087	2219
1217	FATHER	papa	82.583	2457
1219	WORM	ver	63.687	3508
122	CART	wagon	84.321	3589
1226	YEAR	année	49.759	126
124	THORN	épine	77.692	1280
1245	BUTTER	beurre	85.958	325
1246	SMALL	petit	74.72	2566
1248	EYE	oeil	92.857	2379
1251	BELLY	ventre	77.292	3506
1252	HOUSE	maison	89.321	2079
1254	HANDLE	poignée	78.679	2636
1256	HEAD	tête	80.36	3339
1257	WING	aile	80.154	77
1258	FINGERNAIL	ongle	77.923	2394
1259	WEDDING	mariage	80.304	2123
1272	AUNT	tante	77.28	3291
1273	CANDLE	bougie	90.917	383
1274	SALT	sel	72.333	3091
1277	HAND	main	88.385	2074
1284	BANK	banque	75.6	276
1290	ELEPHANT	éléphant	85.3	1212
1293	MISTAKE	erreur	61.32	1300
1297	LEG	jambe	84.885	1899
1298	NEWSPAPER	journal	76.826	1917
1299	COFFEE	café	87.462	469
1301	FOOT	pied	85.542	2578
1302	FORK	fourchette	89.905	1523
1303	FINGER	doigt	86.542	1130
1305	CHIMNEY	cheminée	86.348	639
131	FESTIVAL	fête	83.44	1432
1312	FOX	renard	90.455	2910
1313	MOON	lune	90.821	2054
1315	RADIO	radio	69.385	2815
1316	TENT	tente	85.034	3328
